#{"t_start": 1777903206.291314, "env_id": "None"}
r,l,t
-1008.39538,54,735.312157
1638.705222,96,735.443526
1749.559004,118,735.592039
2012.978423,132,735.779832
2065.967638,141,735.951634

-515.309275,44,283.753444
21901.552159,150,284.407072
1-585.456849,155,287.728038
1060.334092,109,287.907993
2386.782575,150,288.291709
22224.863862,137,288.724705
-818.838992,35,288.841163
1796.423988,127,289.21282268-129.098064,49,289.373177-91604.15506,143,290.756438243137.210817,163,291.223307622353.073493,142,291.671872980.939005,168,291.840214
2761.383657,172,292.340718
-1367.092222,46,292.47224
-984.734021,31,292.583795
727.503929,113,292.928176
-790.86739,54,293.074674
-112135.083087,199,293.582882
-275.333156,55,293.756561102067.338973,129,294.154376
-985.000687,29,294.237603141480.070808,156,294.71816459.778303,98,296.811016
-664.879404,35,296.927179
3239.108654,186,297.547787
2301.961232,178,298.366915
952.163681,73,298.683877
-787.310661,31,300.508765
-823.584065,61,300.80025
611.002936,103,301.186336
318.094516,91,301.456956
767.476946,72,301.689809
-1203.297951,42,301.824638
-760.78281,66,302.011705
-949.41783.572447,131,302.1832.4857,109,302.449286
1460.32203,112,302.774429
1568.621663,135,303.203171
2319.466742,211,303.809987
-594.15687,34,303.909935
1372.137862,121,304.289202
1824.404227,174,304.783119
-888.910485,35,304.904007
2187.855421,131,307.344064
-763.678429,42,307.473348
2468.816371,136,307.879001
-806.716625,35,307.990954
-124.332431,55,308.149223
717.08773548.75705,223,308.2830.581309,167,309.916484
858.172636,220,310.58451
-428.822575,44,310.711362
1565.240079,160,311.305753
3429.537622,183,312.076584
-815.020634,30,312.226042
-1139.7583763.029762,159,312.866377
-1126.22709,48,3132144.50301992.800764,151,313.760567
-958.569453,22,311609.23379-1039.959504,110,314.448478
1778.936427,180,3118.107209,-882.906927,60,3654.312864,2645.907448,153,317.567336
1075.258733,138,318.020035
-1045.925409,38,318.131323
-1048.814785,32,318.234837
-1157.359328,31,318.325565
1331.66873,152,319.813584
-1033.638345,21,319.897
1609.254658,176,320.416352
2979.547503,179,320.966731
3837.091908,195,321.562312
2271.408226,135,321.955721
977.296385,125,322.341364
-1173.857704,53,322.488338
3006.199423,142,322.898437
-628.754396,32,322.991999
-1075.342496,30,323.075658
3091.87482,164,323.597209
-685.730025,26,323.670288
-441.13014,35,323.767528
2537.935733,189,324.349439
2173.692121,136,327.535383
-861.323064,55,327.788493
-700.775834,58,328.048815
-463.250073,48,328.188362
2936.099304,176,328.7406
2142.794421,209,330.326723
2084.780739,132,330.729205
3904.187555,227,331.397321
167.682288,76,331.625199
3571.293335,188,332.206871
-930.161085,26,332.287341
1011.510911,155,332.781818
1384.629315,123,333.167626
-855.30682,39,333.283284
-691.174191,43,333.415378
1894.145068,179,333.945096
-526.369904,65,334.13886
-1072.207225,77,334.365443
3493.911763,215,336.955925
3544.155079,193,337.516639
-668.746906,29,337.595359
2269.498012,165,339.566413
482.503378,122,340.057373
-1104.676938,26,340.200263
