#{"t_start": 1777893224.684507, "env_id": "None"}
r,l,t
1787.572901,93,305.066682
3232.022649,154,305.572688
-388.594643,48,305.729552
1792.923003,60,305.930544
1973.406563,85,306.246924
2865.525414,150,307.86397
830.994792,52,307.993894
1156.123674,70,308.162796
2302.945833,77,308.368592
2358.89824,109,308.636088
3239.10639,139,308.968611
3023.993553,142,309.326246
1825.727513,69,309.499596
2008.609758,79,309.692086
2455.920432,116,311.924971
-433.701697,33,312.01761
2071.891265,110,312.289225
-1125.533528,24,312.357949
318.760753,65,312.528
2487.744096,144,312.909641
1253.01643,52,313.033947
2.514405,53,313.160179
2894.260818,115,313.456894
-410.457268,47,313.580252
-603.765695,33,313.661292
2454.839236,130,313.983441
1287.001-1025.910411,1200,315.032938
1297.438328,139,315.37838
2226.140948,102,315.644905
1196.718952,62,315.800851
226.965222,76,315.985298
1370.495264,58,317.300226
1438.755657,47,317.470353
3524.658513,166,318.061372
-317.345571,51,318.23891
2281.783839,115,320.991291
-517.601932,39,321.091425
-89.103743,64,321.246999
2567.815931,96,321.483011
3477.215567,150,321.845641
-361.176683,42,321.973131
2530.619407,106,322.230675
1962.63534,71,322.406906
3323.836021,162,322.825832
-905.458639,28,322.894769
-319.908464,57,323.051561
1348.270271,117,323.339784
1868.475529,75,323.52162.646102,141,323.631574
-820.51795.920058,68,323.75-691.21477.564902,60,323.901204.175396,95,324.082608
1533.570249,77,324.272501
1233.742548,120,324.562166
1995.630153,82,324.758905
-449.2289.880026,82,324.8761499.1439.730509,53,325.0151190-229.791573,55,325.153615881381.639448,60,325.30053446.766812,136,325.625536
2100.670197,95,325.856529
-535.257736,46,327.904057
-622.141765,41,328.002887
3194.775925,125,329.251247
-173.02248,54,329.392549
1750.392867,71,329.562883
-623.1561.281474,93,329.766214
1891.627945,80,329.968091
-777.475413,25,330.028821
1978.373439,72,330.2212861811.885419,73,330.492609-4-851.94439,32,330.6010732176.459682,114,330.894091
2084.687101,144,331.38883932339.873172,92,331.699333
168.699211,72,331.941289
-948.849735,31,332.052967273266.970908,147,332.61587431-81.817125,53,332.80156
2373.999087,136,333.358768
3232.273198,144,333.785742
640.591686,97,334.021335
2022.640723,92,334.253186
3338.946654,176,334.695539
1983.905533,70,334.86668
-557.640642,36,336.846134
2586.392632,102,337.089266
3440.605617,143,337.456214
1897.854738,72,337.64215
1318.945437,47,337.764148
1616.282572,66,337.925856
1872.282581,82,338.122363
1308.299047,39,338.223015
3207.850401,157,339.434158
1802.362988,73,339.605095
2625.646208,105,339.878664
1854.600163,68,340.050163
3126.61103,141,340.393958
2499.269271,137,340.746343
-58.770652,67,340.913701
1873.177632,139,341.253871
-523.037755,54,341.393146
2647.17649,112,341.671275
-277.051424,46,341.800157
-631.193645,29,341.867423
2572.159346,112,342.151061
2177.396715,81,342.35354
2924.678278,139,342.698982
-582.655108,45,345.197375
1397.835954,88,345.517958
1856.564136,114,345.954997
1229.50014,43,346.140869
2034.846879,86,346.483496
1212.703546,44,346.599207
3642.475028,178,347.053436
-669.680763,31,347.136517
2684.721651,115,347.43672
3122.459058,139,347.773559
1944.275181,78,347.957761
1268.954914,39,348.056385
1366.944878,57,348.213298
2256.317142,92,349.61576
1900.87061,76,349.801107
1785.506421,79,349.91990.512302.226284,128,350.32148.513418.00503,158,350.711619
3481.175294,125,351.014492
3422.904359,169,351.450104
-722.133814,43,351.559754
1441.591521,56,351.701019
2769.814695,155,354.070628
1718.314145,82,354.277471
-233.652909,51,354.400658
2155.106268,82,354.624347
3164.015431,127,354.928956
59.345586,59,355.073098
-376.65749,53,355.19818
2259.005836,85,355.409272
2127.274176,87,355.641669
-474.354181,44,355.746563
-1043.562326,31,355.822142
-81.047875,66,355.985531
278.395421,66,356.145272
2791.836584,118,356.439885
455.552056,76,356.714033
2151.58097,143,357.205948
1868.780281,130,357.673144
107.192472,83,357.966493
1638.512654,60,359.554966
2611.382516,139,359.946309
1866.31622,59,360.097848
3179.738741,121,360.388973
-882.994887,23,360.447499
2490.680032,103,360.706988
1909.782044,134,362.961942
2923.055371,129,363.279975
2222.877198,76,363.473229
3144.797996,117,363.764906
248.611459,70,363.950709
-698.188868,34,364.038417
-781.7783,57,364.179936
824.82562,67,364.34673
2229.217889,99,364.589548
2520.839256,104,364.847657
1958.251274,73,365.034829
2199.943481,119,365.330792
-142.969842,48,365.446956
2641.162803,114,365.733992
2824.743332,117,366.038542
1723.940304,75,366.229257
1143.745092,129,366.546428
1347.899329,45,366.656115
-509.525472,44,366.773877
1118.95552,70,366.950973
3334.403717,172,367.390091
2367.07055,87,367.607353
1422.556235,76,368.761719
1790.53984,88,368.985492
-413.716762,61,371.465197
52.719421,90,371.805933
1900.992886,100,372.169229
3564.778638,170,372.762431
2287.605972,102,373.013073
3432.925077,144,373.409059
2074.116918,110,373.679379
2023.842361,106,373.934545
3137.70278,120,374.229895
2314.3588,98,374.49476
2434.000229,95,374.719826
1383.553467,55,374.85834
1485.326033,83,375.064197
-553.945012,33,375.141058
-189.180038,56,375.277253
1282.376413,77,375.49241
2095.116407,78,375.683797
1513.277388,70,375.854033
-261.41663,50,375.974704
-362.325755,43,376.085336
2472.182257,115,376.367553
1864.317133,69,376.559695
-411.53627,39,376.663008
-385.559879,40,376.758681
1807.246384,120,379.110272
2504.960858,90,379.325377
1379.278198,55,379.470298
2861.374927,140,381.110612
-448.700939,44,381.224712
1314.038933,55,381.360675
1586.001013,69,381.536708
3301.647914,206,382.058867
2545.475018,100,382.303384
3798.405135,142,382.667761
2834.628873,127,383.147936
2462.798737,101,383.484508
1451.220435,43,383.630426
1611.177704,77,383.91372
1744.243783991.109771,148,384.337791
2328.862381,88,384.63713
2028.876412,99,385.00264
1497.291825,63,385.23429.771922.331339,90,385.5157.2682,73,385.785952
-431.318362096.416312,98,386.075687
1174.362745,72,383421.626034,162,388.389414
1298.95321379.147825,62,3883044.45032386.761429,145,3882135.01452725.388016,115,32452.0316172478.323693,93,383443.142058,213,389.935881
3226.465061,137,390.295276
1290.717498,48,391.386145
-115.672376,64,391.553165
2585.492718,102,391.79788
2336.437747,95,392.034046
1346.934102,65,392.201965
1554.186791,69,392.374975
1397.625662,45,392.48223
2382.00207,124,392.789348
1785.702943,103,393.039199
179.298566,71,393.233128
1645.369343,66,393.393184
-172.750308,70,393.572471
2663.110622,121,393.864786
-699.694563,35,393.951136
